Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
78,15,3,24,0,Some Random Commen with Id 78
79,15,3,65,4,Some Random Commen with Id 79
80,15,3,24,0,Some Random Commen with Id 80
81,17,3,165,4,Some Random Commen with Id 81
82,17,3,10,7,Some Random Commen with Id 82
83,17,3,187,4,Some Random Commen with Id 83
84,17,3,137,5,Some Random Commen with Id 84
85,17,3,77,3,Some Random Commen with Id 85
86,17,3,65,3,Some Random Commen with Id 86
87,17,3,78,4,Some Random Commen with Id 87
88,18,8,32,9,Some Random Commen with Id 88
89,18,8,139,7,Some Random Commen with Id 89
90,18,8,66,6,Some Random Commen with Id 90
91,18,8,128,2,Some Random Commen with Id 91
92,18,8,143,8,Some Random Commen with Id 92
93,18,8,198,3,Some Random Commen with Id 93
94,18,8,2,6,Some Random Commen with Id 94
95,18,8,105,4,Some Random Commen with Id 95
96,18,8,53,4,Some Random Commen with Id 96
97,19,2,153,8,Some Random Commen with Id 97
98,19,2,11,8,Some Random Commen with Id 98
99,19,2,168,2,Some Random Commen with Id 99
100,20,5,134,0,Some Random Commen with Id 100
101,20,5,34,3,Some Random Commen with Id 101
102,20,5,126,6,Some Random Commen with Id 102
103,20,5,155,6,Some Random Commen with Id 103
104,20,5,121,2,Some Random Commen with Id 104
105,21,8,41,4,Some Random Commen with Id 105
106,21,8,145,9,Some Random Commen with Id 106
107,21,8,43,0,Some Random Commen with Id 107
108,21,8,141,5,Some Random Commen with Id 108
109,21,8,11,5,Some Random Commen with Id 109
110,22,3,178,9,Some Random Commen with Id 110
111,22,3,77,8,Some Random Commen with Id 111
112,22,3,122,9,Some Random Commen with Id 112
113,22,3,33,2,Some Random Commen with Id 113
114,22,3,186,5,Some Random Commen with Id 114
115,22,3,7,9,Some Random Commen with Id 115
116,22,3,76,2,Some Random Commen with Id 116
117,22,3,21,5,Some Random Commen with Id 117
118,23,8,172,5,Some Random Commen with Id 118
119,23,8,116,2,Some Random Commen with Id 119
120,23,8,143,3,Some Random Commen with Id 120
121,23,8,194,3,Some Random Commen with Id 121
122,23,8,60,5,Some Random Commen with Id 122
123,23,8,83,5,Some Random Commen with Id 123
124,23,8,128,1,Some Random Commen with Id 124
125,23,8,120,4,Some Random Commen with Id 125
126,23,8,186,3,Some Random Commen with Id 126
127,25,5,93,9,Some Random Commen with Id 127
128,25,5,89,5,Some Random Commen with Id 128
129,25,5,174,8,Some Random Commen with Id 129
130,25,5,156,9,Some Random Commen with Id 130
131,25,5,55,6,Some Random Commen with Id 131
132,25,5,177,2,Some Random Commen with Id 132
133,25,5,99,4,Some Random Commen with Id 133
134,26,4,146,0,Some Random Commen with Id 134
135,26,4,98,8,Some Random Commen with Id 135
136,26,4,72,0,Some Random Commen with Id 136
137,26,4,147,3,Some Random Commen with Id 137
138,26,4,73,8,Some Random Commen with Id 138
139,27,6,10,7,Some Random Commen with Id 139
140,27,6,58,1,Some Random Commen with Id 140
141,27,6,67,4,Some Random Commen with Id 141
142,27,6,195,0,Some Random Commen with Id 142
143,28,2,99,5,Some Random Commen with Id 143
144,28,2,103,2,Some Random Commen with Id 144
145,28,2,135,5,Some Random Commen with Id 145
146,28,2,108,1,Some Random Commen with Id 146
147,28,2,192,7,Some Random Commen with Id 147
148,28,2,63,1,Some Random Commen with Id 148
149,28,2,82,3,Some Random Commen with Id 149
150,29,5,1,7,Some Random Commen with Id 150
151,29,5,184,5,Some Random Commen with Id 151
152,29,5,38,9,Some Random Commen with Id 152
153,29,5,80,2,Some Random Commen with Id 153
154,29,5,130,9,Some Random Commen with Id 154
155,29,5,184,1,Some Random Commen with Id 155
156,30,8,150,8,Some Random Commen with Id 156
157,30,8,64,0,Some Random Commen with Id 157
158,30,8,174,6,Some Random Commen with Id 158
159,30,8,82,0,Some Random Commen with Id 159
160,30,8,129,5,Some Random Commen with Id 160
161,30,8,19,0,Some Random Commen with Id 161
162,30,8,22,9,Some Random Commen with Id 162
163,30,8,0,7,Some Random Commen with Id 163
164,31,4,102,7,Some Random Commen with Id 164
165,31,4,58,4,Some Random Commen with Id 165
166,31,4,198,6,Some Random Commen with Id 166
167,31,4,125,2,Some Random Commen with Id 167
168,31,4,74,4,Some Random Commen with Id 168
169,31,4,81,1,Some Random Commen with Id 169
170,31,4,153,9,Some Random Commen with Id 170
171,31,4,139,7,Some Random Commen with Id 171
172,32,0,75,3,Some Random Commen with Id 172
173,32,0,95,5,Some Random Commen with Id 173
174,32,0,23,4,Some Random Commen with Id 174
175,34,8,57,1,Some Random Commen with Id 175
176,35,9,157,0,Some Random Commen with Id 176
177,35,9,138,6,Some Random Commen with Id 177
178,35,9,185,3,Some Random Commen with Id 178
179,36,9,78,8,Some Random Commen with Id 179
180,36,9,185,6,Some Random Commen with Id 180
181,37,3,180,6,Some Random Commen with Id 181
182,37,3,81,8,Some Random Commen with Id 182
183,37,3,23,3,Some Random Commen with Id 183
184,37,3,130,4,Some Random Commen with Id 184
185,37,3,97,8,Some Random Commen with Id 185
186,37,3,109,2,Some Random Commen with Id 186
187,37,3,111,7,Some Random Commen with Id 187
188,38,2,103,2,Some Random Commen with Id 188
189,38,2,140,3,Some Random Commen with Id 189
190,38,2,156,5,Some Random Commen with Id 190
191,38,2,116,4,Some Random Commen with Id 191
192,38,2,28,8,Some Random Commen with Id 192
193,38,2,58,6,Some Random Commen with Id 193
194,38,2,76,9,Some Random Commen with Id 194
195,38,2,153,5,Some Random Commen with Id 195
196,39,3,77,4,Some Random Commen with Id 196
197,39,3,80,4,Some Random Commen with Id 197
198,39,3,78,3,Some Random Commen with Id 198
199,39,3,197,2,Some Random Commen with Id 199
200,39,3,187,1,Some Random Commen with Id 200
201,39,3,73,0,Some Random Commen with Id 201
202,39,3,18,8,Some Random Commen with Id 202
